instructor,classes_taught,avg_gpa_historical
AGHAMOHAMMADI,1,3.1966666666666668
AGRAWAL D,9,3.477828999906495
ALMEROTH K C,4,3.2936162332661216
ANANTH P V,3,3.5399264106502133
ASLANDOGAN Y,1,3.655833333333333
BAKO S C,1,3.9
BALKIND J M,3,3.8278417465254635
BANG L A,1,3.0615384615384613
BARNARD E M,1,3.005504587155964
BELDING E M,5,3.450469540865506
BEYELER M,6,3.812303404104362
BLACK J,1,3.8038461538461537
BOCHKOV D,1,3.269014084507042
BOE B A,4,3.5465827084453116
BOONE R G,1,2.9904761904761905
BOYLAND P,2,3.4946339869281045
BREWER F,1,3.275054112554112
BULLO F,1,3.7277777777777774
BULTAN T,13,3.497857220742642
BUONI M J,3,3.1578304179649552
BURK K T,6,3.2350753847493623
CAPPELLO P R,5,3.1105827598875804
CENICEROS H,1,4.0
CHANDRASEKARA,1,3.992857142857143
CHANG S,1,4.0
CHANG SHIYU,5,3.948332688781502
CHONG F T,3,3.713691148775894
CHOW S P,1,3.964893617021277
CHU S,2,3.586752136752137
COAKLEY C J,2,3.401804024630877
CONRAD P T,14,3.7385928157262427
COSTANZO C,5,3.3586317779410706
DEBRUHL B E,1,3.421212121212122
DEEK L,1,2.669230769230769
DENG Z,1,3.344444444444444
DEWEY K T,4,3.298052046707543
DING Y,1,3.555
DING YUFEI,4,3.6401292981132243
DOWNING M E,1,3.870126227208976
DUNCAN A M,3,3.3200725444146495
EGECIOGLU O,8,3.1583712650236113
EIERS W J,1,4.0
EL ABBADI A,9,3.5158888821897065
ELSHERIF M E,1,2.641025641025641
EMRE M,3,3.3679960745551663
FENG YU,7,3.688098731832627
FRAGOSO V M,1,3.7538461538461534
FRANKLIN D M,6,2.993945110727216
FRANKS A,2,3.8623626373626374
GADER P D,1,4.0
GIBOU F G,3,3.830054496247068
GIBSON J D,1,3.6325000000000003
GILBERT J R,10,3.6852513264628626
GOLUBOVIC N,1,3.978125
GONZALEZ T F,4,3.050174552649237
GRIESSBAUM N,2,3.533163949688402
GUO W,3,3.795548941798941
GUPTA A,6,3.8899044963315257
GUPTA T,3,3.513966955173246
HANSEN K D,1,3.4510638297872345
HARDEKOPF B C,11,3.7003277937100734
HOLLERER T,13,3.8314231696858805
IBARRA O H,2,3.19172149122807
JACOBS J M,1,3.9535714285714283
KASOWSKI J M,1,3.2347826086956526
KEMMERER R A,1,2.992629911797055
KHARITONOVA Y,7,3.3590849089894768
KIM T,2,3.37609649122807
KOC C K,17,3.524551855156656
KOZERAWSKI J,3,3.8227181877175096
KRINTZ C,13,3.7725372744363592
KRISHNAGOPAL,3,3.4921580519801423
KRUEGEL C I,10,3.753785349447551
LARIOS CARDEN,1,3.7
LI LEI,3,3.525554373522459
LIN HUIJIA,7,3.4414036977432896
LIU JUNRUI,1,3.972727272727273
LOKSHTANOV D,7,3.379837041825384
MAJEDI M,3,3.039136211231176
MALKHI D,2,3.968295739348371
MANJUNATH B S,4,3.385270856099733
MATNI Z A,9,3.3561886431837107
MAZLOOM B,1,3.379999999999999
MELLIAR-SMITH,1,3.333333333333333
MIRZA D,8,3.604062326383198
MOCK M U,3,3.715862573099415
MOEHLIS J M,1,3.6566037735849055
MOHAN A,1,2.9727272727272727
MOHR J,1,3.94
MOSER L E,1,3.258408258408258
MUTZ A A,1,3.907142857142857
NASIR N,2,3.4254196559572083
NEELEY V,1,3.490740740740741
NICHOLS L H,3,3.264875967477552
NIU M Y,4,3.8426904761904765
O'DONOVAN J,2,3.5565384615384614
OH SANG-YUN,2,3.9615384615384617
PAKRAVAN S,1,3.395833333333333
PARK S,1,4.0
PEJOVIC V,1,2.553061224489796
PETZOLD L,3,3.8800848765432097
PREISS J A,2,3.484313725490196
PROULX S R,1,3.8338888888888887
QUEVEDO A M,1,3.771153846153846
ROSE K,1,3.7852727272727273
RUIZ T D,2,3.763186813186813
SANFT K,1,2.6000000000000005
SANJAY CHANDR,1,3.810596026490066
SEN P,3,3.7154049654049652
SHAFIUZZAMAN,1,3.65625
SHANKAR S C,1,3.670588235294118
SHERWOOD T P,10,3.8552235118123654
SHLOMI S,1,3.142801490514905
SINGH A K,11,3.701677030078667
SISCO Z D,5,3.332003358037841
SOLIS S W,6,3.3788629955085314
SPENSKY C S,1,2.8756097560975613
SRA M,5,3.7682259540129914
STONE-GROSS B,1,2.8857142857142857
STRNADOVA V,1,2.9266666666666663
SU J,12,3.43076549220498
SURI S,9,3.5120609620752172
SURIANARAYANA,2,3.108226495726496
TANNA A A,1,3.372101608115066
TESSARO S M,5,3.578865709613537
TURK M A,10,3.70056262679371
VAN DAM W,5,3.019767907689109
VIGIL M A,1,2.561904761904761
VIGNA G,5,3.9346602172354155
VIGODA E J,6,3.676610880638592
WALKER J,1,3.9362857142857144
WALKER Z,1,3.452777777777777
WANG R K,7,3.2203452950945177
WANG Y F,15,3.1526820838255905
WANG Y W,7,3.8184718778903166
WANG YUXIANG,7,3.6973998514854967
WITTIE M P,1,3.1040000000000005
WOLSKI R M,6,3.5131586366569847
WOOD Z J,2,3.6097502805836137
YAN L,6,3.683584609701185
YAN X,10,3.783843171303123
YANG T,10,3.6526570744032645
YU Q,1,4.0
ZHAO B Y,6,3.6325944074540986
ZHENG H,10,3.7600096290685716
ZHOU E,1,3.105405405405405
ZHOU HANMING,1,4.0
