instructor,dept,record_count
MARQUES-PASCU,SPAN,317
SLOAN T F,ED,222
JAMIESON A E,ESS,222
SCOTT V,THTR,217
MARCUS S L,MUS,213
HARMON C J,ECON,213
FEDDERS A,ED,211
BALDWIN J D,SOC,197
MOSELEY D,DANCE,196
HUSTON V G,DANCE,191
KULPER D E,ECON,183
ANDERSON R W,ECON,182
EVEN T J,EEMB,181
GAINER M J,CHEM,178
BADULESCU M,ES,168
KISLENKO N,MUS,167
BAMBACH P A,MUS,162
NATHAN J S,MUS,157
BRECHER B H,MUS,156
SCALZO J N,ED,153
VAN KOPPEN P,CHEM,149
FOLTZ K R,MCDB,147
COLAHAN N,DANCE,145
WEIMBS T,MCDB,145
THROWER D A,MCDB,143
GALLUCCI R,CLASS,142
MITHUN M,LING,142
BALDWIN J I,SOC,141
SPECK J S,MATRL,138
MCCARTHY C R,DANCE,138
DEWAR T J,ED,135
POPESCU P F,PHYS,133
GAINES S,ESM,133
LOW S H,MCDB,128
OXELSON E M,ED,128
COTICH C,WRIT,128
GELLER R M,PHYS,127
ECKSTEIN M P,PSY,126
BUCHOLTZ M H,LING,126
BURATTO S K,CHEM,126
BIBILASHVILI,PHYS,125
HALADYNA J J,MUS,123
MAZER S J,EEMB,123
MCHUGH P,WRIT,122
LAVERMAN L E,CHEM,122
WILLIAMS A,ES,121
MA D,MCDB,121
MULLIN C R,COMM,121
CHRISTOFFERSE,MCDB,120
JIMERSON S R,CNCSP,119
HANSON J L,WRIT,119
BENELLI C A,ECON,118
SHELL M S,CH,117
YOUNG H S,EEMB,116
GONZALES-SMIT,SPAN,116
MONTELL D J,MCDB,115
JAMIESON A E,ES,114
AKUDINOBI J,BL,113
KATZ D H,MUS,113
APPEL I J,THTR,113
COLSON G W,ES,113
KURIS A M,EEMB,112
MORGAN M,THTR,112
DEAN C W,WRIT,112
ZETZER H A,CNCSP,111
KENNEDY R A,LING,110
KIM H S,PSY,110
BRAININ R,THTR,109
GAULIN S J,ANTH,109
HUK P M,WRIT,109
BAILLARGEON K,WRIT,108
GURUSWAMY S,PHYS,106
BUENO CACHADI,MATH,106
FREUND E G,PHYS,106
MANJUNATH B S,ECE,105
DURAN R P,ED,105
STEMMER S,MATRL,105
MIZRAHI J L,WRIT,105
GERSTENFELD P,ES,105
DONNELLY B,ENGL,105
BOSCAGLI M,ENGL,104
KRUT R M,WRIT,104
CASTEELS K L,MATH,104
SCHULTZ J M,FR,103
WEBER R,COMM,103
RUPERT P,ECON,103
DEVRIES M S,CHEM,103
COKLIN L,WRIT,103
BROWNING R,WRIT,102
GAGE R J,ES,102
GENOVA G L,WRIT,101
DE TOMASO A W,MCDB,101
EK A A,WRIT,101
BREWER F,ECE,101
FELBER J,MUS,101
HILLIS G A,RG,101
VERNON T W,CNCSP,100
MULLIN D I,COMM,100
ROBERTS S C,FR,100
FORD P C,CHEM,100
